DateTime,Air temperature | (°C),Power generated by system | (MW),Pressure | (atm),Wind speed | (m/s)
1/2/2019 12:00,-0.631,40.5643,0.990962,9.616
1/2/2019 13:00,-0.747,42.8628,0.991278,9.817
1/2/2019 14:00,0.001,37.0646,0.991638,9.215
1/2/2019 15:00,2.156,16.0518,0.991861,6.991
1/2/2019 16:00,3.901,4.92684,0.991989,5.11
1/2/2019 17:00,5.578,1.3034,0.991843,3.946
1/2/2019 18:00,7.039,1.2594294285714285,0.991669,3.04
1/2/2019 19:00,8.243,1.215458857142857,0.991462,2.38
1/2/2019 20:00,9.203,1.1714882857142856,0.991194,2.068
1/2/2019 21:00,9.808,1.1275177142857142,0.990899,1.886
1/2/2019 22:00,9.349,1.0835471428571428,0.990634,2.426
1/2/2019 23:00,5.977,1.0395765714285714,0.990709,3.412
1/3/2019 0:00,4.652,0.995606,0.990939,3.803
1/3/2019 1:00,3.956,1.66172,0.99108,4.11
1/3/2019 2:00,3.119,3.06072,0.991185,4.612
1/3/2019 3:00,2.503,11.3547,0.991121,6.282
1/3/2019 4:00,1.743,14.3691,0.990967,6.774
1/3/2019 5:00,1.087,21.2785,0.990807,7.591
1/3/2019 6:00,0.724,34.7533,0.990834,8.96
1/3/2019 7:00,1.144,45.8952,0.991063,10.019
1/3/2019 8:00,1.868,34.2257,0.991178,8.921
1/3/2019 9:00,1.606,30.2575,0.99126,8.569
1/3/2019 10:00,1.283,28.0582,0.991386,8.345
1/3/2019 11:00,1.081,23.2929,0.991667,7.838
1/3/2019 12:00,1.068,29.0654,0.991865,8.433
1/3/2019 13:00,1.056,34.1092,0.992048,8.896
1/3/2019 14:00,1.937,34.0528,0.992169,8.901
1/3/2019 15:00,4.047,17.7016,0.992188,7.182
1/3/2019 16:00,6.377,4.53884,0.991966,5.034
1/3/2019 17:00,8.406,3.02651,0.991383,4.62
1/3/2019 18:00,9.954,2.19334,0.990889,4.318
1/3/2019 19:00,11.128,1.26536,0.99037,3.949
1/3/2019 20:00,12.128,2.90609,0.989766,4.602
1/3/2019 21:00,12.364,3.95308,0.989237,4.91
1/3/2019 22:00,11.649,3.88915,0.988795,4.899
1/3/2019 23:00,8.479,6.63176,0.988598,5.525
1/4/2019 0:00,6.938,15.134,0.988555,6.97
1/4/2019 1:00,6.091,13.2875,0.988491,6.66
1/4/2019 2:00,5.456,11.3761,0.988371,6.307
1/4/2019 3:00,5.872,20.373,0.988303,7.583
1/4/2019 4:00,5.641,37.6814,0.988076,9.487
1/4/2019 5:00,5.433,35.938,0.987649,9.275
1/4/2019 6:00,5.395,24.8463,0.987472,8.153
1/4/2019 7:00,6.506,14.7193,0.987403,6.892
1/4/2019 8:00,6.861,10.3735,0.9872,6.166
1/4/2019 9:00,7.258,11.5098,0.986888,6.368
1/4/2019 10:00,7.487,10.7184,0.986579,6.201
1/4/2019 11:00,7.654,11.5,0.986389,6.378
1/4/2019 12:00,7.957,11.7928,0.986043,6.445
1/4/2019 13:00,7.915,12.81,0.98563,6.624
1/4/2019 14:00,7.344,11.4592,0.985335,6.379
1/4/2019 15:00,8.452,8.61617,0.985032,5.887
1/4/2019 16:00,11.127,2.20777,0.984393,4.332
1/4/2019 17:00,13.487,1.95681,0.98354,4.25
1/4/2019 18:00,15.949,11.7613,0.982735,6.576
1/4/2019 19:00,16.747,13.8303,0.982202,6.853
1/4/2019 20:00,16.091,7.7609,0.981877,5.745
1/4/2019 21:00,16.355,5.70692,0.98104,5.425
1/4/2019 22:00,15.16,20.6024,0.980077,7.678
1/4/2019 23:00,14.947,26.2429,0.979534,8.307
1/5/2019 0:00,15.222,28.2442,0.979209,8.574
1/5/2019 1:00,15.448,35.6044,0.979178,9.42
1/5/2019 2:00,15.39,36.7624,0.979083,9.474
1/5/2019 3:00,15.357,27.4982,0.978637,8.546
1/5/2019 4:00,15.268,28.9533,0.978039,8.725
1/5/2019 5:00,15.131,26.9788,0.977431,8.508
1/5/2019 6:00,15.155,36.038,0.976866,9.454
1/5/2019 7:00,15.058,41.2384,0.976353,9.97
1/5/2019 8:00,15.037,44.0998,0.975986,10.262
1/5/2019 9:00,15.052,31.5706,0.975404,8.961
1/5/2019 10:00,15.257,28.5292,0.974728,8.6
1/5/2019 11:00,15.404,33.5099,0.974009,9.067
1/5/2019 12:00,15.657,27.5386,0.973727,8.593
1/5/2019 13:00,15.758,39.4281,0.973239,9.845
1/5/2019 14:00,15.695,39.1512,0.97332,9.735
1/5/2019 15:00,16.621,40.6945,0.973417,9.84
1/5/2019 16:00,17.127,37.0919,0.973212,9.518
1/5/2019 17:00,17.4,36.9382,0.972966,9.515
1/5/2019 18:00,17.648,25.5452,0.972669,8.274
1/5/2019 19:00,17.5,17.8633,0.97279,7.343
1/5/2019 20:00,18.034,14.2043,0.97284,6.881
1/5/2019 21:00,18.291,24.9939,0.972971,8.224
1/5/2019 22:00,17.533,30.1481,0.9733,8.768
1/5/2019 23:00,15.283,24.7736,0.974008,8.179
1/6/2019 0:00,12.697,20.7047,0.974688,7.68
1/6/2019 1:00,11.746,28.5237,0.975226,8.602
1/6/2019 2:00,10.843,24.6865,0.975844,8.189
1/6/2019 3:00,9.822,8.55596,0.976413,5.936
1/6/2019 4:00,9.268,2.14469,0.976694,4.315
1/6/2019 5:00,8.8,0.917818,0.976789,3.774
1/6/2019 6:00,8.042,1.27004,0.977037,3.942
1/6/2019 7:00,8.405,2.86884,0.97751,4.622
1/6/2019 8:00,8.405,4.61359,0.977825,5.112
1/6/2019 9:00,7.816,15.6459,0.978276,7.025
1/6/2019 10:00,9.442,11.3643,0.978511,6.381
1/6/2019 11:00,9.367,2.47438,0.979247,4.433
1/6/2019 12:00,9.881,1.04475,0.979626,3.836
1/6/2019 13:00,10.318,4.55981,0.980135,5.063
1/6/2019 14:00,10.265,2.23444,0.980764,4.348
1/6/2019 15:00,10.733,2.075704888888889,0.981182,3.087
1/6/2019 16:00,12.322,1.9169697777777779,0.981459,1.583
1/6/2019 17:00,14.064,1.7582346666666666,0.981443,1.474
1/6/2019 18:00,15.025,1.5994995555555556,0.981546,1.779
1/6/2019 19:00,15.853,1.4407644444444445,0.981656,1.847
1/6/2019 20:00,16.501,1.2820293333333332,0.981655,2.246
1/6/2019 21:00,16.723,1.123294222222222,0.981665,2.958
1/6/2019 22:00,16.249,0.9645591111111109,0.981846,3.421
1/6/2019 23:00,13.548,0.805824,0.98215,3.727
1/7/2019 0:00,12.156,0.907874,0.98258,3.77
1/7/2019 1:00,11.195,0.9418934285714285,0.982997,3.544
1/7/2019 2:00,10.728,0.9759128571428571,0.983331,2.833
1/7/2019 3:00,10.489,1.0099322857142856,0.983493,1.784
1/7/2019 4:00,9.799,1.0439517142857142,0.983447,1.749
1/7/2019 5:00,8.674,1.0779711428571428,0.98319,1.922
1/7/2019 6:00,8.465,1.1119905714285714,0.983197,2.782
1/7/2019 7:00,8.956,1.14601,0.983273,3.884
1/7/2019 8:00,9.323,6.80754,0.983133,5.554
1/7/2019 9:00,9.788,19.9011,0.982875,7.519
1/7/2019 10:00,9.598,27.1835,0.982578,8.358
1/7/2019 11:00,9.725,29.2372,0.982254,8.585
1/7/2019 12:00,10.565,22.7275,0.981909,7.883
1/7/2019 13:00,11.031,21.0206,0.981676,7.674
1/7/2019 14:00,11.367,14.4493,0.981284,6.855
1/7/2019 15:00,11.717,32.3172,0.980359,8.896
1/7/2019 16:00,12.269,16.3973,0.980051,7.143
1/7/2019 17:00,12.658,20.8589,0.979036,7.777
1/7/2019 18:00,12.699,10.6796,0.978259,6.237
1/7/2019 19:00,14.072,20.2907,0.977375,7.608
1/7/2019 20:00,15.572,41.2151,0.976936,10.004
1/7/2019 21:00,13.548,16.7291,0.977125,7.185
1/7/2019 22:00,12.217,13.7723,0.977342,6.787
1/7/2019 23:00,12.002,4.36996,0.977288,5.05
1/8/2019 0:00,12.018,15.2617,0.977572,7.032
1/8/2019 1:00,11.698,19.5334,0.978179,7.525
1/8/2019 2:00,10.921,20.2197,0.978514,7.578
1/8/2019 3:00,10.41,19.3703,0.979077,7.461
1/8/2019 4:00,9.964,16.2316,0.979257,7.072
1/8/2019 5:00,9.822,21.9607,0.979172,7.796
1/8/2019 6:00,9.241,21.772,0.979873,7.767
1/8/2019 7:00,6.983,24.9674,0.98049,8.103
1/8/2019 8:00,6.003,26.6631,0.981081,8.269
1/8/2019 9:00,7.095,26.9899,0.981467,8.314
1/8/2019 10:00,5.879,34.1442,0.981986,8.997
1/8/2019 11:00,4.373,40.125,0.982816,9.696
1/8/2019 12:00,2.853,27.3294,0.983491,8.402
1/8/2019 13:00,1.533,23.9544,0.984128,8.028
1/8/2019 14:00,1.336,21.496,0.984707,7.726
1/8/2019 15:00,2.306,2.85172,0.985344,4.563
1/8/2019 16:00,3.444,1.09389,0.985653,3.846
1/8/2019 17:00,4.572,0.953001,0.9856,3.785
1/8/2019 18:00,5.67,1.71554,0.985519,4.145
1/8/2019 19:00,6.559,2.80601,0.985351,4.536
1/8/2019 20:00,7.045,3.07269,0.985326,4.673
1/8/2019 21:00,7.071,5.09373,0.985327,5.258
1/8/2019 22:00,6.976,5.80268,0.985278,5.426
1/8/2019 23:00,5.22,16.8858,0.985329,7.192
1/9/2019 0:00,3.333,12.0281,0.985374,6.53
1/9/2019 1:00,3.205,27.926,0.985556,8.366
1/9/2019 2:00,2.857,44.0814,0.985817,9.923
1/9/2019 3:00,2.194,45.1308,0.985928,9.996
1/9/2019 4:00,1.662,43.9878,0.9859,9.903
1/9/2019 5:00,0.582,44.6383,0.985642,9.966
1/9/2019 6:00,-0.066,35.9632,0.985599,9.11
1/9/2019 7:00,-0.139,27.934,0.985659,8.33
1/9/2019 8:00,0.035,28.2948,0.985442,8.364
1/9/2019 9:00,-0.035,45.4106,0.98507,10.029
1/9/2019 10:00,0.054,53.2697,0.984906,10.804
1/9/2019 11:00,0.059,47.3253,0.985002,10.245
1/9/2019 12:00,0.228,50.7769,0.985153,10.658
1/9/2019 13:00,0.447,53.1118,0.98549,10.917
1/9/2019 14:00,0.906,42.1314,0.986073,9.803
1/9/2019 15:00,3.258,24.0046,0.986489,7.945
1/9/2019 16:00,4.69,23.3592,0.986835,7.883
1/9/2019 17:00,5.979,33.2332,0.986999,8.895
1/9/2019 18:00,6.858,37.5515,0.987219,9.387
1/9/2019 19:00,7.37,43.3073,0.987749,9.917
1/9/2019 20:00,7.506,43.0702,0.988137,9.892
1/9/2019 21:00,7.287,46.6452,0.988414,10.192
1/9/2019 22:00,6.594,40.6687,0.988951,9.661
1/9/2019 23:00,4.875,47.5107,0.989667,10.238
1/10/2019 0:00,3.479,48.0607,0.990336,10.269
1/10/2019 1:00,2.554,54.3854,0.990921,10.952
1/10/2019 2:00,1.635,49.8111,0.991531,10.488
1/10/2019 3:00,0.42,51.5978,0.991937,10.626
1/10/2019 4:00,-0.001,53.6579,0.992084,10.876
1/10/2019 5:00,-0.752,48.6918,0.992259,10.284
1/10/2019 6:00,-1.13,38.7823,0.992679,9.356
1/10/2019 7:00,-1.692,36.4802,0.993064,9.072
1/10/2019 8:00,-1.441,47.2307,0.9933,10.081
1/10/2019 9:00,-1.287,35.5916,0.993486,8.99
1/10/2019 10:00,-1.739,24.745,0.993815,7.948
1/10/2019 11:00,-2.062,20.6538,0.994096,7.482
1/10/2019 12:00,-2.337,8.60736,0.994362,5.865
1/10/2019 13:00,-2.542,10.1864,0.994551,6.057
1/10/2019 14:00,-1.584,5.68939,0.994714,5.26
1/10/2019 15:00,0.638,5.325271000000001,0.994927,2.938
1/10/2019 16:00,2.401,4.961152,0.994982,2.363
1/10/2019 17:00,3.848,4.597033000000001,0.994668,1.972
1/10/2019 18:00,5.199,4.232914,0.994316,2.309
1/10/2019 19:00,6.222,3.8687950000000004,0.994023,1.839
1/10/2019 20:00,6.898,3.5046760000000003,0.993683,1.662
1/10/2019 21:00,7.149,3.1405570000000003,0.993363,1.962
1/10/2019 22:00,6.561,2.776438,0.993075,1.943
1/10/2019 23:00,3.225,2.412319,0.992929,2.977
1/11/2019 0:00,1.744,2.0482,0.99284,4.247
1/11/2019 1:00,0.715,4.4834,0.992758,4.994
1/11/2019 2:00,0.176,9.44986,0.992756,5.966
1/11/2019 3:00,0.25,20.5421,0.992728,7.502
1/11/2019 4:00,0.357,21.4817,0.992551,7.629
1/11/2019 5:00,0.672,30.2599,0.992217,8.562
1/11/2019 6:00,0.471,35.2953,0.992183,9.015
1/11/2019 7:00,0.452,37.6518,0.99228,9.284
1/11/2019 8:00,0.661,42.6192,0.992496,9.754
1/11/2019 9:00,0.322,34.8507,0.992543,9.003
1/11/2019 10:00,0.357,38.4385,0.992636,9.435
1/11/2019 11:00,0.307,40.7921,0.992829,9.639
1/11/2019 12:00,0.35,44.3117,0.992997,9.929
1/11/2019 13:00,0.412,49.5936,0.993159,10.378
1/11/2019 14:00,1.326,50.9494,0.993252,10.505
1/11/2019 15:00,3.938,25.5743,0.993248,8.139
1/11/2019 16:00,6.338,19.2377,0.993058,7.426
1/11/2019 17:00,8.103,24.3223,0.992512,8.088
1/11/2019 18:00,9.477,25.1782,0.991985,8.218
1/11/2019 19:00,10.661,28.8906,0.991553,8.615
1/11/2019 20:00,11.418,33.74,0.991158,9.056
1/11/2019 21:00,11.715,35.9562,0.990792,9.28
1/11/2019 22:00,11.096,30.9556,0.990481,8.771
1/11/2019 23:00,9.165,41.0346,0.990502,9.785
1/12/2019 0:00,8.618,49.0502,0.990624,10.572
1/12/2019 1:00,8.039,58.311,0.990887,12.065
1/12/2019 2:00,7.775,57.9277,0.991154,11.895
1/12/2019 3:00,7.881,58.5515,0.991405,12.388
1/12/2019 4:00,8.286,58.4099,0.991593,12.141
1/12/2019 5:00,9.374,57.6709,0.991241,11.91
1/12/2019 6:00,9.745,57.987,0.991013,12.2
1/12/2019 7:00,9.913,57.9642,0.991121,12.206
1/12/2019 8:00,9.936,56.0733,0.991294,11.488
1/12/2019 9:00,9.784,55.5467,0.991475,11.377
1/12/2019 10:00,9.264,52.5799,0.991627,10.965
1/12/2019 11:00,8.415,50.2614,0.991932,10.701
1/12/2019 12:00,8.471,56.7392,0.992124,11.557
1/12/2019 13:00,8.769,57.9607,0.992182,12.018
1/12/2019 14:00,9.168,51.3032,0.992385,10.802
1/12/2019 15:00,11.043,32.9824,0.992429,9.021
1/12/2019 16:00,12.616,16.5162,0.992314,7.192
1/12/2019 17:00,14.848,10.6141,0.992025,6.281
1/12/2019 18:00,16.433,11.0597,0.991642,6.357
1/12/2019 19:00,17.698,11.9787,0.991266,6.53
1/12/2019 20:00,18.535,13.842,0.990928,6.799
1/12/2019 21:00,18.881,18.9198,0.990514,7.443
1/12/2019 22:00,17.653,17.1736,0.990283,7.229
1/12/2019 23:00,16.194,24.9803,0.990298,8.249
1/13/2019 0:00,15.581,33.5314,0.99028,9.124
1/13/2019 1:00,15.279,39.8593,0.99027,9.758
1/13/2019 2:00,14.767,42.9428,0.990399,10.007
1/13/2019 3:00,14.119,48.0922,0.990371,10.477
1/13/2019 4:00,13.66,52.5016,0.99024,10.951
1/13/2019 5:00,13.235,50.8231,0.989959,10.744
1/13/2019 6:00,12.92,44.1753,0.989886,10.103
1/13/2019 7:00,12.778,43.5094,0.989871,10.043
1/13/2019 8:00,12.77,46.1914,0.98992,10.261
1/13/2019 9:00,12.809,42.5927,0.989887,9.919
1/13/2019 10:00,12.738,38.2706,0.989703,9.529
1/13/2019 11:00,12.517,37.795,0.989801,9.455
1/13/2019 12:00,11.905,35.8114,0.989844,9.226
1/13/2019 13:00,11.723,34.876,0.990027,9.096
1/13/2019 14:00,12.162,27.1798,0.990091,8.349
1/13/2019 15:00,14.133,18.8997,0.989998,7.403
1/13/2019 16:00,16.799,9.71643,0.989769,6.09
1/13/2019 17:00,18.427,15.9553,0.989271,7.066
1/13/2019 18:00,19.845,20.5797,0.988823,7.702
1/13/2019 19:00,20.48,18.7841,0.988427,7.49
1/13/2019 20:00,20.636,17.5226,0.987917,7.296
1/13/2019 21:00,20.157,17.4732,0.987518,7.272
1/13/2019 22:00,19.091,16.2832,0.987345,7.116
1/13/2019 23:00,18.152,12.863,0.987348,6.677
1/14/2019 0:00,17.676,18.321,0.987561,7.365
1/14/2019 1:00,16.699,22.786,0.987634,7.922
1/14/2019 2:00,16.3,21.0324,0.987653,7.703
1/14/2019 3:00,15.925,19.4137,0.987696,7.485
1/14/2019 4:00,15.676,20.6017,0.987542,7.638
1/14/2019 5:00,15.335,26.2589,0.987279,8.281
1/14/2019 6:00,15.108,26.5236,0.987452,8.316
1/14/2019 7:00,14.975,25.301,0.987402,8.178
1/14/2019 8:00,14.575,26.3696,0.987408,8.293
1/14/2019 9:00,14.583,28.7223,0.987379,8.55
1/14/2019 10:00,14.142,23.0779,0.987375,7.927
1/14/2019 11:00,13.876,15.9662,0.987588,7.045
1/14/2019 12:00,13.735,17.6597,0.987664,7.249
1/14/2019 13:00,13.357,12.3369,0.987642,6.567
1/14/2019 14:00,13.946,15.8238,0.9876,7.026
1/14/2019 15:00,15.585,9.04599,0.987604,5.989
1/14/2019 16:00,17.213,2.68575,0.987382,4.527
1/14/2019 17:00,18.686,5.31537,0.986918,5.273
1/14/2019 18:00,19.93,13.488,0.986583,6.778
1/14/2019 19:00,20.477,11.9017,0.986146,6.546
1/14/2019 20:00,20.661,14.8063,0.985643,6.947
1/14/2019 21:00,20.464,12.1152,0.985195,6.578
1/14/2019 22:00,19.576,16.5761,0.984908,7.165
1/14/2019 23:00,18.007,21.7056,0.984948,7.815
1/15/2019 0:00,17.207,19.7695,0.984844,7.552
1/15/2019 1:00,15.922,24.4529,0.984695,8.107
1/15/2019 2:00,15.372,31.8797,0.984468,8.868
1/15/2019 3:00,13.957,42.436,0.984116,9.923
1/15/2019 4:00,13.734,51.0161,0.983667,10.766
1/15/2019 5:00,13.86,54.1169,0.983168,11.189
1/15/2019 6:00,14.77,52.4655,0.982795,10.989
1/15/2019 7:00,14.86,44.9535,0.982747,10.167
1/15/2019 8:00,14.5,41.8152,0.982692,9.88
1/15/2019 9:00,14.408,40.9674,0.982476,9.807
1/15/2019 10:00,14.094,32.2939,0.98234,8.896
1/15/2019 11:00,13.706,23.1881,0.982272,7.95
1/15/2019 12:00,13.676,12.3492,0.982293,6.576
1/15/2019 13:00,13.844,15.8053,0.982659,7.086
1/15/2019 14:00,13.901,24.4548,0.98277,8.155
1/15/2019 15:00,14.252,13.3863,0.982944,6.79
1/15/2019 16:00,14.965,11.0079,0.9833,6.339
1/15/2019 17:00,16.101,8.44471,0.982988,5.886
1/15/2019 18:00,16.963,19.6542,0.982961,7.553
1/15/2019 19:00,16.692,10.5777,0.9829,6.246
1/15/2019 20:00,15.708,18.0099,0.983299,7.332
1/15/2019 21:00,14.178,3.6453,0.983336,4.839
1/15/2019 22:00,13.381,4.99111,0.983378,5.183
1/15/2019 23:00,12.572,1.38254,0.983586,4.007
1/16/2019 0:00,12.186,1.847765,0.983851,3.197
1/16/2019 1:00,11.829,2.31299,0.984065,4.385
1/16/2019 2:00,11.323,11.8616,0.984501,6.492
1/16/2019 3:00,8.966,32.9536,0.98538,8.904
1/16/2019 4:00,7.569,19.0932,0.985924,7.39
1/16/2019 5:00,6.121,26.8028,0.986247,8.375
1/16/2019 6:00,4.975,29.749,0.986936,8.608
1/16/2019 7:00,4.534,21.816,0.98728,7.768
1/16/2019 8:00,4.078,21.4968,0.98792,7.752
1/16/2019 9:00,3.589,22.7803,0.9885,7.89
1/16/2019 10:00,2.585,23.7506,0.989121,7.973
1/16/2019 11:00,1.531,28.501,0.98979,8.438
1/16/2019 12:00,0.896,27.1272,0.990404,8.327
1/16/2019 13:00,0.181,27.3839,0.99098,8.28
1/16/2019 14:00,-0.147,18.6617,0.991618,7.306
1/16/2019 15:00,-0.167,21.2975,0.992214,7.63
1/16/2019 16:00,0.508,22.9878,0.992628,7.806
1/16/2019 17:00,0.858,22.6555,0.992739,7.779
1/16/2019 18:00,1.336,26.3245,0.992895,8.152
1/16/2019 19:00,1.798,24.9847,0.993279,8.034
1/16/2019 20:00,2.152,26.2532,0.993523,8.151
1/16/2019 21:00,2.249,27.5046,0.993823,8.272
1/16/2019 22:00,1.948,35.1385,0.9941,8.984
1/16/2019 23:00,1.198,27.7577,0.995064,8.277
1/17/2019 0:00,0.738,40.5847,0.995812,9.549
1/17/2019 1:00,0.27,44.6113,0.996582,9.887
1/17/2019 2:00,-0.347,48.9968,0.996897,10.256
1/17/2019 3:00,-0.932,46.8529,0.997449,10.031
1/17/2019 4:00,-1.522,47.7688,0.997526,10.117
1/17/2019 5:00,-2.202,33.4899,0.997596,8.843
1/17/2019 6:00,-2.393,23.9673,0.997567,7.932
1/17/2019 7:00,-2.319,25.5733,0.997777,8.11
1/17/2019 8:00,-2.303,29.2612,0.997995,8.515
1/17/2019 9:00,-2.371,20.8191,0.998009,7.577
1/17/2019 10:00,-2.289,19.049,0.998009,7.354
1/17/2019 11:00,-2.217,15.5638,0.998155,6.938
1/17/2019 12:00,-2.45,11.9502,0.99838,6.396
1/17/2019 13:00,-2.886,16.5532,0.998407,7.039
1/17/2019 14:00,-2.123,13.4145,0.998456,6.62
1/17/2019 15:00,-0.601,8.59528,0.998478,5.787
1/17/2019 16:00,0.884,5.89028,0.998215,5.322
1/17/2019 17:00,2.453,4.68411,0.997655,5.042
1/17/2019 18:00,4.104,2.85523,0.997126,4.601
1/17/2019 19:00,5.0,1.29485,0.99661,3.985
1/17/2019 20:00,5.766,1.34811,0.996259,3.967
1/17/2019 21:00,6.19,1.07547,0.995907,3.839
1/17/2019 22:00,6.217,1.201625,0.995595,3.488
1/17/2019 23:00,4.992,1.32778,0.995334,3.955
1/18/2019 0:00,4.389,2.19458,0.995218,4.309
1/18/2019 1:00,3.855,8.31234,0.995148,5.771
1/18/2019 2:00,4.283,28.1277,0.994977,8.366
1/18/2019 3:00,4.397,21.8733,0.994676,7.69
1/18/2019 4:00,3.823,20.3816,0.994298,7.49
1/18/2019 5:00,3.552,22.8279,0.9938,7.792
1/18/2019 6:00,3.604,29.5185,0.993442,8.509
1/18/2019 7:00,2.745,29.5339,0.993349,8.501
1/18/2019 8:00,2.354,26.2309,0.993215,8.147
1/18/2019 9:00,2.348,18.3013,0.993002,7.242
1/18/2019 10:00,3.558,11.0736,0.992856,6.233
1/18/2019 11:00,3.818,9.11812,0.992836,5.95
1/18/2019 12:00,3.846,6.01631,0.992708,5.403
1/18/2019 13:00,3.812,5.97236,0.992498,5.417
1/18/2019 14:00,3.779,4.52248,0.992304,5.073
1/18/2019 15:00,3.867,3.96087,0.992188,4.927
1/18/2019 16:00,4.094,3.8992,0.992033,4.88
1/18/2019 17:00,4.37,1.78079,0.9915,4.184
1/18/2019 18:00,4.869,1.95614,0.990975,4.249
1/18/2019 19:00,5.442,0.69961,0.990606,3.659
1/18/2019 20:00,6.157,0.695879,0.990024,3.657
1/18/2019 21:00,6.852,1.1702275,0.989337,2.342
1/18/2019 22:00,7.392,1.644576,0.988769,1.573
1/18/2019 23:00,6.899,2.1189245,0.988557,0.777
1/19/2019 0:00,6.694,2.593273,0.988636,0.941
1/19/2019 1:00,6.476,3.0676215,0.988549,2.619
1/19/2019 2:00,6.49,3.54197,0.988775,4.769
1/19/2019 3:00,6.424,16.014,0.988788,7.007
1/19/2019 4:00,5.971,26.342,0.989082,8.207
1/19/2019 5:00,5.659,10.0193,0.989113,6.084
1/19/2019 6:00,5.335,11.596,0.989309,6.368
1/19/2019 7:00,4.298,16.9835,0.989756,7.106
1/19/2019 8:00,3.22,10.0204,0.990079,6.072
1/19/2019 9:00,2.602,14.262,0.990257,6.771
1/19/2019 10:00,2.281,13.0658,0.990426,6.599
1/19/2019 11:00,1.148,21.2846,0.990792,7.688
1/19/2019 12:00,0.06,16.4509,0.991164,7.02
1/19/2019 13:00,-0.433,28.3538,0.991633,8.339
1/19/2019 14:00,-0.805,22.596,0.991999,7.718
1/19/2019 15:00,0.081,14.3122,0.992327,6.74
1/19/2019 16:00,1.459,10.7211,0.992344,6.157
1/19/2019 17:00,2.925,11.059,0.991932,6.209
1/19/2019 18:00,4.258,11.7946,0.991596,6.386
1/19/2019 19:00,5.262,10.9499,0.991428,6.205
1/19/2019 20:00,5.877,10.8076,0.991219,6.186
1/19/2019 21:00,6.17,11.2039,0.990946,6.269
1/19/2019 22:00,5.886,11.5481,0.990722,6.352
1/19/2019 23:00,4.061,15.5308,0.990731,6.921
1/20/2019 0:00,2.603,23.8822,0.990961,7.898
1/20/2019 1:00,1.239,22.4861,0.991192,7.735
1/20/2019 2:00,0.738,27.0563,0.991435,8.215
1/20/2019 3:00,0.912,24.5891,0.991502,7.959
1/20/2019 4:00,1.781,10.5925,0.991533,6.137
1/20/2019 5:00,1.705,5.49725,0.991347,5.231
1/20/2019 6:00,1.598,7.30725,0.991372,5.583
1/20/2019 7:00,1.48,9.83371,0.991494,6.028
1/20/2019 8:00,1.431,10.2466,0.991624,6.087
1/20/2019 9:00,1.399,11.4964,0.991537,6.294
1/20/2019 10:00,1.3,9.12446,0.991385,5.913
1/20/2019 11:00,1.178,9.50747,0.991418,5.978
1/20/2019 12:00,1.076,10.1955,0.991329,6.12
1/20/2019 13:00,0.951,7.00855,0.991311,5.605
1/20/2019 14:00,1.228,5.50309,0.991295,5.265
1/20/2019 15:00,2.406,1.09345,0.991323,3.846
1/20/2019 16:00,3.87,1.14154,0.991118,3.864
1/20/2019 17:00,5.265,2.03973,0.990661,4.251
1/20/2019 18:00,6.302,1.25333,0.990275,3.923
1/20/2019 19:00,7.123,1.22564,0.989802,3.91
